Title, ID, Acousticness, Danceability, Energy, Instrumentalness, Liveness, Loudness, Speechiness, Valence, Tempo, Popularity
Love Shack,4W4wYHtsrgDiivRASVOINL,0.0325,0.715,0.817,1.61e-06,0.851,0.4870583982142068,0.0532,0.871,0.6084454545454545,0.71
Stand by Me,3SdTKo2uVsxFblQjpScoHy,0.57,0.65,0.306,7.07e-06,0.0707,0.33591466057218,0.0393,0.605,0.5366727272727273,0.79
Purple Rain,54X78diSLoUDI3joC2bjMz,0.0353,0.367,0.452,0.00228,0.689,0.29999284559330386,0.0307,0.189,0.5139363636363636,0.77
Like a Prayer,1z3ugFmUKoCzGsI6jdY4Ci,0.264,0.624,0.842,2.11e-05,0.181,0.5430536605564633,0.0376,0.257,0.5047136363636364,0.73
Private Eyes,5HQ639Z3ms3hnZx0KfWnkp,0.409,0.85,0.938,0.000346,0.0582,0.4511982362560495,0.0415,0.84,0.5492090909090909,0.66
Old Soul,2xI4tF521dtU3MY4MfPVeH,0.278,0.597,0.487,0.000539,0.307,0.44293492644484717,0.025,0.0377,0.4862181818181818,0.49
Born to Run,6hTcuIQa0sxrrByu9wTD7s,0.00501,0.27,0.944,2.05e-05,0.116,0.6156433244702185,0.0975,0.606,0.6652136363636364,0.75
Drunk in Love,6jG2YzhxptolDzLHTGLt7S,0.00969,0.589,0.621,0.00104,0.181,0.4505211267963132,0.0468,0.401,0.6365,0.74
Fuck it I love you,7MtVPRGtZl6rPjMfLoI3Lh,0.892,0.532,0.452,0.00113,0.127,0.2920593208898912,0.043,0.203,0.5904318181818182,0.8
Big Rings,7jslhIiELQkgW9IHeYNOWE,0.00196,0.776,0.675,0,0.227,0.48722722904641586,0.266,0.271,0.5999272727272728,0.65
Can't Stop Singing,2adTfABiJJQpZWlujYO3Qo,0.51,0.513,0.69,0,0.102,0.5621394618893089,0.0341,0.777,0.4403681818181818,0.59
Japanese Denim,1boXOL0ua7N2iCOUVI1p9F,0.0905,0.707,0.238,2.42e-06,0.0842,0.36106571313754615,0.0379,0.345,0.5643454545454546,0.77
Stuck With Me,6Ej6WtjqLbro72mF4Y1Xdb,0.693,0.578,0.391,3.47e-06,0.11,0.21318334942574646,0.114,0.224,0.36429545454545453,0.6
Ain't It Fun,1j8z4TTjJ1YOdoFEDwJTQa,0.154,0.61,0.893,4.41e-05,0.021,0.6536091113539242,0.0921,0.673,0.47286818181818185,0.74
The Champion,6gyJ8itbHFzjZvvdVaLc6Z,0.0821,0.663,0.875,0,0.122,0.6829412273554122,0.183,0.51,0.4138909090909091,0.17
Leave Me Alone,14mHfNsSHN0FbLftyjrV9g,0.107,0.792,0.743,0,0.183,0.7231332072205265,0.0851,0.742,0.6819272727272727,0.83
Shake It Off,5xTtaWoae3wi06K5WfVUUH,0.0561,0.648,0.785,0,0.148,0.5350207188972462,0.165,0.943,0.7273636363636364,0.68
Stronger,4fzsfWzRhPawzqhX8Qt9F3,0.00564,0.617,0.717,0,0.408,0.40341407728745415,0.153,0.49,0.4726909090909091,0.82
Single Ladies (Put a Ring on It),5R9a4t5t5O0IsznsrKPVro,0.0383,0.426,0.584,0,0.188,0.5425520042549944,0.296,0.272,0.8792590909090909,0.71
Like a Virgin,1ZPlNanZsJSPK5h9YZZFbZ,0.202,0.773,0.656,0.00323,0.0697,0.2845327586469556,0.0381,0.971,0.5443363636363636,0.73
Wrecking Ball,2vwlzO0Qp8kfEtzTsCXfyE,0.407,0.53,0.422,0,0.107,0.48509302251079633,0.0342,0.349,0.545290909090909,0.77
emotions,5ls62WNKHUUrdF3r1cv83T,0.0131,0.63,0.63,0,0.142,0.4879595058392367,0.0395,0.163,0.3659636363636364,0.8
Rehab,1L5tZi0izXsi5Kk5OJf4W0,0.0473,0.434,0.872,1.83e-06,0.396,0.7092338667287947,0.0702,0.732,0.3250681818181818,0.76
Black Velvet,1KU5EHSz04JhGg3rReGJ0N,0.273,0.754,0.366,9.04e-05,0.106,0.31244337755722695,0.0312,0.469,0.4143045454545455,0.73
Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl,0.000453,0.372,0.865,0,0.234,0.5665728336469373,0.0381,0.478,0.7933181818181818,0.74
On My Way,4n7jnSxVLd8QioibtTDBDq,0.0209,0.509,0.689,0,0.301,0.5658533072559023,0.102,0.297,0.7731227272727272,0.86
A Thousand Miles,4w1lzcaoZ1IC2K5TwjalRP,0.323,0.56,0.825,0,0.161,0.6400840806637293,0.0379,0.268,0.4315045454545454,0.79
Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,0.676,0.552,0.402,0,0.0928,0.42381307444203264,0.0262,0.382,0.46960454545454544,0.83
Die A Happy Man,5kNe7PE09d6Kvw5pAsx23n,0.381,0.66,0.383,0,0.119,0.3384856709025752,0.0304,0.381,0.37770909090909094,0.77
Copacabana (At the Copa),5FMXrphygZ4z3gVDHGWxgl,0.333,0.606,0.899,0.000102,0.0754,0.47675941473418576,0.0758,0.66,0.5306136363636363,0.61
Material Girl,22sLuJYcvZOSoLLRYev1s5,0.333,0.742,0.883,7.51e-06,0.0964,0.6736946121909818,0.0329,0.978,0.6204818181818181,0.75
Funkytown,4vAeAdQuqHE8NYi1xrZzX8,0.00239,0.898,0.543,0.415,0.0987,0.2944647133315069,0.0629,0.254,0.55515,0.54
Need You Now,11EX5yhxr9Ihl3IN1asrfK,0.0927,0.587,0.622,0.000636,0.2,0.5275939769909922,0.0303,0.231,0.49065,0.69
All I Have,4mnoPyJHlmMYPJsib5tfn0,0.00482,0.668,0.828,7.89e-06,0.189,0.6293058822865989,0.0651,0.357,0.6133727272727273,0.66
Hunger Strike,0W7AbEauB7cP4pidLclApe,0.025,0.369,0.613,4.96e-06,0.101,0.2856195558712598,0.0335,0.338,0.6263318181818182,0.61
We Are Family,5IKLwqBQG6KU6MP2zP80Nu,0.3,0.784,0.893,1.57e-05,0.272,0.551398277882087,0.0923,0.819,0.5397181818181818,0.72
ABC,6wDviYDtmSDZ0S6TVMM9Vc,0.523,0.736,0.689,0.000319,0.123,0.2564056575043578,0.0437,0.95,0.4262772727272727,0.66
Wannabe,1Je1IMUlBXcx1Fz0WE7oPT,0.101,0.768,0.864,0,0.162,0.49169423098695825,0.0324,0.891,0.5000363636363636,0.81
Push It,1Hc3yNWYf43zhBOSAM38ub,0.088,0.821,0.675,0,0.248,0.5900871716681009,0.28,0.405,0.6364181818181818,0.69
No Scrubs,1KGi9sZVMeszgZOWivFpxs,0.0251,0.743,0.675,0.000717,0.0685,0.6108259813761096,0.0953,0.59,0.4223136363636364,0.81
Lean on Me,3M8FzayQWtkvOhqMn2V4T2,0.782,0.619,0.22,1.19e-05,0.124,0.20205687332767938,0.0667,0.423,0.3416363636363636,0.71
Ymca,7Cp69rNBwU0gaFT8zxExlE,0.152,0.715,0.951,0,0.302,0.47259185385637154,0.132,0.671,0.57565,0.56
Supersonic Rocket Ship,7DTfOX4SIuMMt33sSVvLRr,0.863,0.622,0.43,0.0217,0.118,0.1651863826842811,0.0434,0.882,0.6737227272727272,0.6
Rock Lobster,2Q5wSOwq6BDSu7sSVMNrtT,0.00884,0.592,0.882,0.0155,0.0506,0.3826683974890364,0.0468,0.442,0.4188954545454545,0.6
Just a Friend,3yNVfRQlUPViUh8O2V9SQn,0.12,0.862,0.663,0,0.318,0.3533900519781691,0.21,0.837,0.3877636363636364,0.65
Tubthumping,5YScXJKtefsgdskIy60N7A,0.117,0.606,0.864,0,0.366,0.4202539641836201,0.0919,0.579,0.47197272727272727,0.64
MMMBop,0lnxrQAd9ZxbhBBe7d8FO8,0.00565,0.693,0.937,0.00411,0.0778,0.4830797666952209,0.0503,0.662,0.47656363636363636,0.68
MICKEY,3GxGAhRowXixzk521JQpZu,0.0295,0.971,0.466,0,0.097,0.5203304348022333,0.23,0.131,0.5454272727272728,0.66
Whip It,4sscDOZCkbLSlDqcCgUJnX,0.0744,0.78,0.869,0.004,0.0621,0.43251837592407044,0.0517,0.957,0.7177363636363636,0.68
Rico Suave,6FfdQJ9HJcJAvsPVIyoGZ5,0.00847,0.803,0.805,5.4e-05,0.0597,0.27115067495576706,0.132,0.415,0.48150454545454546,0.39
Closing Time,1A5V1sxyCLpKJezp75tUXn,0.0196,0.484,0.841,1.71e-06,0.148,0.5335393810051847,0.0291,0.304,0.41874545454545453,0.71
Torn,0KDaN0HL3TcJVTbXlQCEsS,0.0647,0.575,0.886,0.000187,0.709,0.5495540680719132,0.034,0.608,0.4377636363636364,0.67
Santeria,2hnMS47jN0etwvFPzYk11f,0.0268,0.682,0.765,3.42e-05,0.188,0.5598711194392529,0.0395,0.567,0.4127590909090909,0.75
Billie Jean,5ChkMS8OtdzJeqyybCc9R5,0.0236,0.92,0.654,0.0158,0.0359,0.7029529328129773,0.0401,0.847,0.5320272727272728,0.83
Tainted Love,58E1XVmZTODC67YNjneuXM,0.558,0.542,0.45,6.43e-06,0.579,0.31750106435468073,0.0361,0.626,0.6565318181818183,0.69
Dancing Queen,4NtUY5IGzHCaqfZemmAu56,0.382,0.539,0.884,0.00166,0.76,0.47030437781814394,0.0403,0.752,0.4582363636363636,0.74
Toast,7sd72KZS8D59g5NmhxyHpJ,0.0342,0.906,0.638,1.7e-05,0.0725,0.40067377768413825,0.256,0.789,0.45435909090909093,0.76
Brick House,5VJjhHyG8NZ5xdgG6uTb3P,0.087,0.845,0.783,0.00466,0.0321,0.29730177875068026,0.0666,0.577,0.4905818181818182,0.67
Wicked Game,390AWnOn2rfe9FzQjYmxIH,0.744,0.667,0.548,0.0122,0.0946,0.4060323739411298,0.0262,0.29,0.5115863636363637,0.71
She Loves You - Mono / Remastered,6nEkxYIEnrbYH7h1hJ8Xn6,0.26,0.377,0.916,0,0.074,0.6910362670128334,0.0481,0.912,0.3433318181818182,0.7
Creep,6b2oQwSGFkzsMtQruIWm2p,0.0102,0.515,0.43,0.000141,0.129,0.3173543816031479,0.0369,0.104,0.4174590909090909,0.84
Zombie,2IZZqH4K02UIYg5EohpNHF,0.0163,0.299,0.613,0.00359,0.368,0.35306360109618873,0.0347,0.306,0.758909090909091,0.82
Enter Sandman,5BIMPccDwShpXq784RJlJp,0.00206,0.579,0.824,0.00903,0.059,0.36559882360685636,0.03,0.635,0.5605954545454546,0.76
Royals,2dLLR6qlu5UJ5gk0dKz0h3,0.106,0.616,0.432,0,0.132,0.3319412895956095,0.133,0.302,0.3853545454545455,0.79
Push,2KVwlelhxKUy8LVV6JypH3,0.0067,0.42,0.672,0,0.108,0.40136869435797673,0.027,0.476,0.7637227272727273,0.73
Treasure,55h7vJchibLdUkxdlX3fK7,0.0412,0.874,0.692,7.24e-05,0.324,0.543367431263029,0.0431,0.937,0.52735,0.77
Call Me Maybe,3TGRqZ0a2l1LRblBkJoaDx,0.0123,0.778,0.585,0,0.108,0.47182812830030524,0.0435,0.626,0.5457681818181819,0.69
Greatest Love Story,2yQZwi1P8AkkxxFhQ8rMEK,0.401,0.671,0.617,0,0.119,0.36517671115251815,0.0561,0.62,0.6726636363636364,0.75
Iris,6Qyc6fS4DsZjB2mRW9DsQs,0.00125,0.315,0.715,7.97e-06,0.0942,0.39356304540710757,0.0362,0.497,0.7087500000000001,0.79
The Middle,09IStsImFySgyp0pIQdqAc,0.171,0.753,0.657,0,0.112,0.7021413186375636,0.0449,0.437,0.48640909090909096,0.86
Timber (feat. Ke$ha),3cHyrEgdyYRjgJKSOiOtcS,0.0295,0.581,0.963,0,0.139,0.6236607336820041,0.0981,0.788,0.5908727272727272,0.77
Poison,6m59VvDUi0UQsB2eZ9wVbH,0.00216,0.829,0.573,0.00432,0.612,0.3036890228063042,0.224,0.803,0.5084,0.68
No Diggity,6MdqqkQ8sSC0WB4i8PyRuQ,0.303,0.868,0.646,0,0.284,0.5827705990672798,0.288,0.67,0.40291363636363636,0.78
Ring of Fire,6YffUZJ2R06kyxyK6onezL,0.623,0.659,0.585,0.000213,0.348,0.3882792906922502,0.0288,0.784,0.4732318181818182,0.72
Overnight Celebrity,2tOZtdbkAMQASWokLvSlzj,0.182,0.828,0.792,0,0.281,0.5337243237102929,0.179,0.777,0.6099954545454546,0.66
Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,0.479,0,0.0703,0.5252222720053766,0.0466,0.913,0.4086863636363636,0.91
Baby Got Back,1SAkL1mYNJlaqnBQxVZrRl,0.00458,0.933,0.666,0,0.0908,0.27177789035055416,0.308,0.635,0.5839363636363637,0.69
Ice Ice Baby,3XVozq1aeqsJwpXrEZrDJ9,0.0023,0.978,0.787,4.6e-06,0.102,0.7244710772774394,0.0394,0.597,0.5273,0.72
Barbie Girl,2RSOzvKUnfDDrb2nQPfpQU,0.0146,0.814,0.955,0.283,0.218,0.5055176373647134,0.0377,0.963,0.5908727272727272,0.65
boyfriend (with Social House),0Ryd8975WihbObpp5cPW1t,0.119,0.4,0.795,0,0.159,0.6498445998835362,0.461,0.702,0.8640772727272727,0.93
